"String ID","Source text","Translation","Context","Path","Filename"
"285","buzzer active","zoemer actief","","","buzact.wav"
"286","crash-flip active","crash-flip actief","multicopter","","crfact.wav"
"287","blackbox active","blackbox actief","","","blkact.wav"
"288","pre-arm active","pre-arm actief","","","preact.wav"
"289","stable mode","stabiele modus","","","stbmod.wav"
"290","brakes on","remmen aan","plane","","brakon.wav"
"291","brakes off","remmen uit","plane","","brakof.wav"
"292","butterfly on","butterfly aan","","","btfon.wav"
"293","butterfly off","butterfly uit","","","btfoff.wav"
"294","flaps one","flaps één","plane","","flp1.wav"
"295","flaps two","flaps twee","plane","","flp2.wav"
"296","flaps three","flaps drie","plane","","flp3.wav"
"297","flaps four","flaps vier","plane","","flp4.wav"
"298","flaps five","flaps vijf","plane","","flp5.wav"
"299","wingsweep","vleugelzwaai","plane","","wngswp.wav"
"300","wheelbrakes on","wielremmen aan","plane","","whlbro.wav"
"301","wheelbrakes off","wielremmen uit","plane","","whlbrf.wav"
"302","manual mode","manuele modus","","","manmod.wav"
"303","acro mode","acro modus","","","acrmod.wav"
"304","angle mode","angle modus","","","angmod.wav"
"305","horizon mode","horizon modus","","","hznmod.wav"
"306","launch mode","lanceermodus","","","lncmod.wav"
"307","air mode","air mode","","","airmod.wav"
"308","pit mode","pit mode","","","pitmod.wav"
"309","navigation cruise","navigatie cruise","autopilot","","navcrs.wav"
"310","navigation course hold","navigatie koers vasthouden","autopilot","","navcsh.wav"
"311","navigation altitude hold","navigatie hoogte vasthouden","autopilot","","navalh.wav"
"312","navigation position hold","navigatie positie vasthouden","autopilot","","navpos.wav"
"313","navigation return to home","navigatie terug naar huis","autopilot","","navrth.wav"
"314","navigation waypoint","navigatie waypoint","autopilot","","navwp.wav"
"315","cruise","cruise","autopilot","","cruise.wav"
"316","course hold","koers vasthouden","autopilot","","crshld.wav"
"317","altitude hold","hoogte vasthouden","autopilot","","althld.wav"
"318","position hold","positie vasthouden","autopilot","","poshld.wav"
"319","return to home","terug naar huis","autopilot","","rth.wav"
"320","waypoint","waypoint","autopilot","","waypnt.wav"
"321","manual","manueel","","","manual.wav"
"322","auto","automatisch","","","auto.wav"
"323","OSD","OSD","video","","osd.wav"
"324","OSD profile","OSD-profiel","video","","osdprf.wav"
"325","attitude hold mode","attitude hold modus","autopilot","","sxrahd.wav"
"326","manual mode","manuele modus","","","sxrman.wav"
"327","stabiliser mode","stabilisator modus","","","sxrsmd.wav"
"328","stabiliser off","stabilisator uit","","","sxrsof.wav"
"329","stabiliser on","stabilisator aan","","","sxrstb.wav"
"330","wind rejection mode","windcompensatie modus","","","sxrwr.wav"
"331","turtle mode on","turtle mode aan","multicopter","","turton.wav"
"332","turtle mode off","turtle mode uit","multicopter","","turtof.wav"
"333","flip","flip","","","flip.wav"
"334","autorotation","autorotatie","heli","","auro.wav"
"335","failsafe active","failsafe actief","","","fsact.wav"
"336","failsafe off","failsafe uit","","","fsoff.wav"
"337","OSD Profile 1","OSD-profiel één","video","","osd1.wav"
"338","OSD Profile 2","OSD-profiel twee","video","","osd2.wav"
"339","OSD Profile 3","OSD-profiel drie","video","","osd3.wav"
"340","rate profile 1","rate-profiel één","","","rates1.wav"
"341","rate profile 2","rate-profiel twee","","","rates2.wav"
"342","rate profile 3","rate-profiel drie","","","rates3.wav"
"343","rate profile 4","rate-profiel vier","","","rates4.wav"
"344","rate profile 5","rate-profiel vijf","","","rates5.wav"
"345","rate profile 6","rate-profiel zes","","","rates6.wav"
"346","stick commands disabled","stick commando's uit","","","scmdof.wav"
"347","stick commands enabled","stick commando's aan","","","scmdon.wav"
"348","telemetry","telemetrie","","","telem.wav"
"349","telemetry logging on","telemetrie logging aan","","","tlogon.wav"
"350","telemetry logging off","telemetrie logging uit","","","tlogof.wav"
"351","VTX","VTX","video","","vtx.wav"
"352","VTX on","VTX aan","video","","vtxon.wav"
"353","VTX off","VTX uit","video","","vtxoff.wav"
